city_x	station_id	request_date	answer_date	bike_available	name	address	banking	bonus	bike_stands	available_bike_stands	available_bikes	status	last_update	city_y	id	company	latitude	longitude	altitude	id_pollution	dist_bike_pollution
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	008-BOUCHERIE	4, rue de la Boucherie	False	False	24	11.0	13.0	OPEN	1650455391000.0	nantes	8	JCDeceaux	47.2162008925882	-1.55711168019757	18.0	FR23140	1.3957270676427316
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	08- SAINT MARC	RUE ARMAND CARREL	True	False	20	11.0	9.0	OPEN	1650455634000.0	rouen	8	JCDeceaux	49.43811211136788	1.100852281910646	11.0	FR25053	0.2180268058933714
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	00008 - ESPACE SAINT-GEORGES	19 RUE PAUL VIDAL	True	False	25	10.0	15.0	OPEN	1650455440000.0	toulouse	8	JCDeceaux	43.6030776947798	1.44804713795463	151.0	FR12008	0.700463112416701
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	008 Halles Castellane				12					montpellier	8	En regie	43.609935	3.877208	54.0	FR08004	0.5993081200799292
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	09- CATHEDRALE	Rue Flatters	True	False	17	5.0	12.0	OPEN	1650455260000.0	amiens	9	JCDeceaux	49.89508211905397	2.299395003901743	36.0	FR18053	0.9093863496318924
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	09 - LA CITY (CB)	Avenue Louise Michel angle rue Plançon	True	False	20	10.0	10.0	OPEN	1650455139000.0	besancon	9	JCDeceaux	47.235425	6.015281	246.0	FR82514	0.6953723779966011
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	09 - EUROPARC	ALLEE FERNAND POUILLON	True	False	22	16.0	5.0	OPEN	1650455539000.0	creteil	9	JCDeceaux	48.76603756422197	2.471314855226071	48.0	FR04034	1.3528402326498787
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	09 - NESSEL	BOULEVARD CHARLES STOESSEL	True	False	15	10.0	5.0	OPEN	1650455337000.0	mulhouse	9	JCDeceaux	47.745105	7.329143	238.0	FR16069	0.7584814076897278
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	00009 - PLACE BARROIS (CB)	Place Barrois	True	False	17	12.0	5.0	OPEN	1650455739000.0	nancy	9	JCDeceaux	48.69950232851108	6.204735639873545	197.0	FR30036	0.2699295257853273
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	009-GUÉPIN	Angle rue du Calvaire / Rue Guépin	False	False	14	6.0	8.0	OPEN	1650455409000.0	nantes	9	JCDeceaux	47.2158145871395	-1.55901748516744	25.0	FR23140	1.4413627965053255
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	09 - REPUBLIQUE - QUAI CORNEILLE	RUE DE LA REPUBLIQUE	True	False	20	9.0	11.0	OPEN	1650455254000.0	rouen	9	JCDeceaux	49.437489866065405	1.096252291204278	9.0	FR25053	0.213158320199377
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	00009 - MAILLART - ROQUEMAUREL	RUE ROQUEMAUREL / ANGLE 3 RUE ANNE FRANCK	True	False	18	6.0	12.0	OPEN	1650455209000.0	toulouse	9	JCDeceaux	43.5959827340129	1.41021417917972	141.0	FR12085	1.6812114140963164
amiens	9	2022-06-02T18:01:31	2022-06-02T20:01	7	009 Observatoire				8					montpellier	9	En regie	43.606081	3.876931	38.0	FR08004	0.260618100258638
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	03- VOGEL	Bd du jardin des plantes	True	False	20	13.0	7.0	OPEN	1650455199000.0	amiens	3	JCDeceaux	49.898124385191046	2.295195128091815	23.0	FR18053	1.052238797188871
